Sl.No.,State/Union Territory,Percent Female Population - 2011 - Persons,Percent Female Population - 2011 - % Female,Sex Ratio - 2011,Average Annual Exponential Growth Rate (%) - 2001-2011
NA,India,"1,21,08,54,977",48.5,943,1.63
1,Andhra Pradesh (old),"8,45,80,777",49.8,993,1.04
2,Arunachal Pradesh,"13,83,727",48.4,938,2.31
3,Assam ,"3,12,05,576",48.9,958,1.58
4,Bihar,"10,40,99,452",47.9,918,2.27
5,Chhatisgarh,"2,55,45,198",49.8,991,2.04
6,Delhi,"1,67,87,941",46.5,868,1.92
7,Goa,"14,58,545",49.3,973,0.79
8,Gujarat,"6,04,39,692",47.9,919,1.76
9,Haryana,"2,53,51,462",46.8,879,1.81
10,Himachal Pradesh,"68,64,602",49.3,972,1.22
11,Jammu & Kashmir,"1,25,41,302",47,889,2.12
12,Jharkhand,"3,29,88,134",48.7,949,2.02
13,Karnataka,"6,10,95,297",49.3,973,1.45
14,Kerala,"3,34,06,061",52,1084,0.48
15,Madhya Pradesh,"7,26,26,809",48.2,931,1.85
16,Maharashtra,"11,23,74,333",48.2,929,1.48
17,Manipur,"28,55,794",49.6,985,2.19
18,Meghalaya,"29,66,889",49.7,989,2.46
19,Mizoram,"10,97,206",49.4,976,2.11
20,Nagaland,"19,78,502",48.2,931,-0.06
21,Odisha,"4,19,74,218",49.5,979,1.31
22,Punjab,"2,77,43,338",47.2,895,1.3
23,Rajasthan,"6,85,48,437",48.1,928,1.93
24,Sikkim,"6,10,577",47.1,890,1.21
25,Tamil Nadu,"7,21,47,030",49.9,996,1.45
26,Tripura,"36,73,917",49,960,1.38
27,Uttar Pradesh,"19,98,12,341",47.7,912,1.84
28,Uttarakhand ,"1,00,86,292",49.1,963,1.72
29,West Bengal,"9,12,76,115",48.7,950,1.3
30,Andaman & Nicobar Islands,"3,80,581",46.7,876,0.66
31,Chandigarh,"10,55,450",45,818,1.59
32,Dadra & Nagar Haveli,"3,43,709",43.6,774,4.44
33,Daman & Diu,"2,43,247",38.2,618,4.3
34,Lakshadweep,"64,473",48.6,947,0.61
35,Puducherry,"12,47,953",50.9,1037,2.47
